cty,bii_crop,n_crop,bii_urban,n_urban,bii_past,n_past,bii_plant,n_plant,bii_natural_combined,n_natural,natfor,other,bii_natfor,bii_other,natfor_capped
AFG,0.5993322552752086,571485,0.3064478282067234,5019,0.6778037225770652,1785581,0.5462526229794225,13553,0.7898598800668827,1542519,1209.44,25700.56,0.8732612274128408,0.7859351046715568,False
AGO,0.6784475074372126,485413,0.3249262758066076,5268,0.7092341001955901,2401509,0.6799438751753686,224000,0.8328470139092736,3339486,65245.01,13450.55,0.8473294667425645,0.762596520068308,False
ALB,0.6023245619299566,67716,0.3623367186893551,1994,0.6511039722308721,34814,0.5760201395992195,23709,0.6417522463661322,59248,0.0,660.8,0.7130580515179246,0.6417522463661322,False
ARG,0.6493145424051375,3663730,0.3516727330138662,104330,0.7148921061221678,6670649,0.6623094618715091,46143,0.8032008709861355,6733413,45999.272,108374.928,0.8638451746354948,0.7774606571719453,False
ARM,0.5857143330517532,49896,0.3616396088945816,6194,0.6661986970588871,87762,0.6113793177745047,1673,0.6532321337595048,43926,133.534,378.237,0.7053637869152024,0.6348274082236822,False
AUS,0.6899161775584682,6223650,0.3103729840306198,70187,0.7629370447994952,15092954,0.6564137715598386,48701,0.8434453471397124,21766047,131264.266,248591.778,0.9025088483857098,0.8122579635471389,False
AUT,0.5716004259905673,237688,0.3639072517722973,27920,0.6439030970901329,90640,0.5634460161898265,6669,0.6119744221919622,259296,2564.136,1725.8736,0.6376261634410297,0.5738635470969268,False
AZE,0.5802947831345999,184371,0.3730291699827163,27256,0.6482365251794151,170957,0.5682071666304741,65388,0.6257356765133224,116269,867.126,2312.716,0.6748153563080862,0.6073338206772776,False
BDI,0.5211364479386194,60556,0.2994619773137114,1021,0.5670193067976165,30604,0.5457245411983341,26760,0.5821414631878906,6706,166.67,185.36,0.6144975900197098,0.5530478310177389,False
BEN,0.6111600973049457,119592,0.3369003774951076,9080,0.6503954915589354,133200,0.6192029302726691,194078,0.6890143100527696,133430,3240.572,3369.7775,0.7260251076225748,0.6534225968603173,False
BFA,0.6136696282199737,230402,0.3086210743297847,2811,0.6401717910762168,593998,0.6361675813355503,270212,0.6511136488915704,327719,3711.59,9232.8318,0.7011224125614142,0.6310101713052728,False
BGD,0.5012965501657902,285414,0.3270140780580106,50685,0.5220511537372385,21465,0.4906987043202048,261438,0.635643312890648,108287,1616.032,1721.628,0.6702142272318549,0.6031928045086694,False
